Accuracy,Precision,Recall,F1,C-Accuracy,C-Precision,C-Recall,C-F1,F-Accuracy,F-Precision,F-Recall,F-F1,T-Accuracy,T-Precision,T-Recall,T-F1
69.16,64.86,69.16,64.83,89.36,100.0,89.36,94.38,16.93,100.0,16.93,28.96,63.32,100.0,63.32,77.53999999999999
67.06,44.97,67.06,53.839999999999996,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.05,71.17999999999999,73.05,70.54,90.19,100.0,90.19,94.84,31.169999999999998,100.0,31.169999999999998,47.53,60.3,100.0,60.3,75.24
68.49,64.74,68.49,63.07000000000001,89.48,100.0,89.48,94.45,12.34,100.0,12.34,21.97,68.34,100.0,68.34,81.19
67.06,44.97,67.06,53.839999999999996,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.98,55.74,71.98,60.440000000000005,99.72999999999999,100.0,99.72999999999999,99.87,0.0,0.0,0.0,0.0,0.12,100.0,0.12,0.25
72.14,52.04,72.14,60.46,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.56,74.29,74.56,67.47,98.16,100.0,98.16,99.07000000000001,26.32,100.0,26.32,41.67,12.55,100.0,12.55,22.3
72.78999999999999,68.56,72.78999999999999,64.99000000000001,97.22,100.0,97.22,98.59,7.02,100.0,7.02,13.11,9.69,100.0,9.69,17.669999999999998
72.14,52.04,72.14,60.46,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.92,64.3,71.92,60.25,99.95,100.0,99.95,99.97,0.0,0.0,0.0,0.0,0.15,100.0,0.15,0.31
71.92,51.73,71.92,60.18,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.08,77.99000000000001,79.08,76.75999999999999,94.55,100.0,94.55,97.2,27.27,100.0,27.27,42.86,40.89,100.0,40.89,58.040000000000006
72.81,70.43,72.81,66.0,95.99,100.0,95.99,97.95,32.47,100.0,32.47,49.02,11.18,100.0,11.18,20.11
71.92,51.73,71.92,60.18,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
